model,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean
Gradient Boosting,0.6687517626139268,0.006664773437765191,0.6384685216614862,0.17471883833914822,0.6013625743421893,0.2707573233503389
Random Forest,0.6514008048322489,0.006399450876525448,0.8883702592932646,0.501440298025513,0.01749962007758288,0.03379742518816098
Logistic Regression,0.628126882645483,0.00523317006064183,0.6393282741011058,0.161387001637048,0.5316970332146038,0.24760931826954574
KNN,0.5832406889341145,0.005814872288054024,0.5780105745852876,0.1385951920343702,0.5332382165018923,0.2200030968819246
MLP (Neural Net),0.5694967556834486,0.009904218820317643,0.8049796166492367,0.1562286540949623,0.16938273354027752,0.16249712713216627
Decision Tree,0.5419536421314943,0.0025048108672880132,0.7927209549934567,0.16912250601582335,0.21912841256607773,0.19089395452304114
